ART_ID,ART_Name,ART_Genre,ART_Image
224,Alison Krauss,,https://i.scdn.co/image/ab6761610000e5eb9870f6d61fa488a37fcb58df
225,Ladysmith Black Mambazo,,https://i.scdn.co/image/ab6761610000e5eb75cf0827b3e31d174e24470e
226,Meghan Trainor,,https://i.scdn.co/image/ab6761610000e5eb240d44db603d49305d3d7b56
227,ERNEST,,https://i.scdn.co/image/ab6761610000e5eb56f0ef5209993722d76ab520
228,Boyz II Men,,https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb
229,The Wickham Sisters,,
230,Naomi Raine,,https://i.scdn.co/image/ab6761610000e5eb13d078a25b6afef2ebe8989b
231,The Kid LAROI,,https://i.scdn.co/image/ab6761610000e5eb8ae6a1046094624d95b115cb
232,2 Chainz,,https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c
233,Angie Stone,,https://i.scdn.co/image/ab6772690000c46cb145341e29b8ebb2d449cb67
234,Swae Lee,,https://i.scdn.co/image/ab6761610000e5ebbccdbb98ab5d54454cd0fe85
235,Allison Russell,,https://i.scdn.co/image/ab6761610000e5eb3254fe3677c0d3a5491e3b98
14,Alan Jackson,,https://i.scdn.co/image/ab6772690000c46c1dce50b93ca0b1e2f459d9e6
236,Ned LeDoux,,https://i.scdn.co/image/ab6761610000e5eb74002c2e6965c831790def76
17,Lord Huron,,https://i.scdn.co/image/ab6761610000e5eb0d4d3bb72e9375017fd94f71
143,Arturo Sandoval,,https://i.scdn.co/image/ab6761610000e5eb387e2b96c99523d73611fc6b
237,DaBaby,,https://i.scdn.co/image/ab6761610000e5eb3552638b88297e6ec45a3934
238,Martina McBride,,https://i.scdn.co/image/ab6761610000e5eb09755e20882fa7f131d1c998
239,Ruthie Ann Miles,,https://i.scdn.co/image/ab67616d0000b273323d6aa704194150c3b24c2c
240,Petey Martin,,https://i.scdn.co/image/ab6761610000e5eb758d1a1fca03dd7f53495bdc
241,Humberto Gatica,,
242,Dennis Bovell,,https://i.scdn.co/image/ab6761610000e5ebbc49f2db29bf7926cc94a119
243,Helene Fischer,,https://i.scdn.co/image/ab6761610000e5eba33986e2319d78e7974c7bfa
6,Josh Groban,,https://i.scdn.co/image/ab6761610000e5ebdde6b069d6f03b7a807cc825
1,Noah Kahan,,https://i.scdn.co/image/ab6761610000e5eb5b141d30d14fb78458dac5ce
